tradingsymbol,name,industry,instrument_token,avg_turnover,liquidity_rank
KEC,Kec International Ltd.,Construction,3394561,603450685.1424999,329
ITCHOTELS,ITC Hotels Ltd.,Consumer Services,7488257,591553554.7306666,330
TATACHEM,Tata Chemicals Ltd.,Chemicals,871681,587166463.1816667,331
BEML,BEML Ltd.,Capital Goods,101121,579408186.6083333,332
HEXT,Hexaware Technologies Ltd.,Information Technology,7594497,575915444.0883334,333
CEATLTD,Ceat Ltd.,Automobile and Auto Components,3905025,571039685.4733334,334
FIVESTAR,Five-Star Business Finance Ltd.,Financial Services,3080193,570345007.2091666,335
JKTYRE,JK Tyre & Industries Ltd.,Automobile and Auto Components,3695361,568120325.8325,336
COHANCE,Cohance Lifesciences Ltd.,Healthcare,4593921,565666962.0683334,337
MSUMI,Motherson Sumi Wiring India Ltd.,Automobile and Auto Components,2200577,561485120.8591666,338
SUMICHEM,Sumitomo Chemical India Ltd.,Chemicals,4378881,553750849.5933334,339
LTTS,L&T Technology Services Ltd.,Information Technology,4752385,550256598.5133332,340
ASTERDM,Aster DM Quality Care Ltd.,Healthcare,386049,548687258.1108333,341
COROMANDEL,Coromandel International Ltd.,Chemicals,189185,548362854.605,342
BAJAJHLDNG,Bajaj Holdings & Investment Ltd.,Financial Services,78081,546607957.0,343
DEVYANI,Devyani International Ltd.,Consumer Services,1375489,539058338.4803334,344
ANTHEM,Anthem Biosciences Ltd.,Healthcare,194018561,537612988.5366666,345
NTPCGREEN,NTPC Green Energy Ltd.,Power,6957057,536821617.3476666,346
MMTC,MMTC Ltd.,Services,4596993,536756066.5164999,347
CREDITACC,CreditAccess Grameen Ltd.,Financial Services,1131777,536509281.00333333,348
AFFLE,Affle 3i Ltd.,Information Technology,2903809,521381159.8883334,349
JINDALSAW,Jindal Saw Ltd.,Capital Goods,774145,519466510.5088333,350
TORNTPOWER,Torrent Power Ltd.,Power,3529217,515446151.7016667,351
AEGISVOPAK,Aegis Vopak Terminals Ltd.,Oil Gas & Consumable Fuels,193878017,507408105.856,352
AIAENG,AIA Engineering Ltd.,Capital Goods,3350017,506844719.0,353
SYNGENE,Syngene International Ltd.,Healthcare,2622209,506136576.6916666,354
ACE,Action Construction Equipment Ltd.,Capital Goods,3478273,505172254.07166666,355
AFCONS,Afcons Infrastructure Ltd.,Construction,6650113,503926616.8775,356
HUDCO,Housing & Urban Development Corporation Ltd.,Financial Services,5331201,490159167.42100006,357
KIMS,Krishna Institute of Medical Sciences Ltd.,Healthcare,1240833,488179479.325,358
HDBFS,HDB Financial Services Ltd.,Financial Services,193989633,482447832.29083335,359
AIIL,Authum Investment & Infrastructure Ltd.,Financial Services,6029569,482290575.745,360
IRCTC,Indian Railway Catering And Tourism Corporation Ltd.,Consumer Services,3484417,480472791.445,361
CENTRALBK,Central Bank of India,Financial Services,3812865,476433675.59200007,362
IPCALAB,Ipca Laboratories Ltd.,Healthcare,418049,471712501.65,363
FIRSTCRY,Brainbees Solutions Ltd.,Consumer Services,6352385,465571136.43516654,364
DALBHARAT,Dalmia Bharat Ltd.,Construction Materials,2067201,462440713.3299999,365
BATAINDIA,Bata India Ltd.,Consumer Durables,94977,458916848.34583324,366
MINDACORP,Minda Corporation Ltd.,Automobile and Auto Components,6629633,455973131.5799999,367
DEEPAKNTR,Deepak Nitrite Ltd.,Chemicals,5105409,453753539.7900001,368
APOLLOTYRE,Apollo Tyres Ltd.,Automobile and Auto Components,41729,452112656.0458333,369
JWL,Jupiter Wagons Ltd.,Capital Goods,5177345,449395063.2458333,370
GPIL,Godawari Power & Ispat Ltd.,Capital Goods,3432705,444897569.69049996,371
FACT,Fertilisers and Chemicals Travancore Ltd.,Chemicals,258049,440680427.5200001,372
ONESOURCE,Onesource Specialty Pharma Ltd.,Healthcare,7481345,437429414.4416667,373
DOMS,DOMS Industries Ltd.,Fast Moving Consumer Goods,5261057,437361873.30500007,374
PTCIL,PTC Industries Ltd.,Capital Goods,4270593,431596330.85,375
CCL,CCL Products (I) Ltd.,Fast Moving Consumer Goods,2931713,428852396.16333336,376
GRAVITA,Gravita India Ltd.,Metals & Mining,5256705,428187323.08833337,377
IRB,IRB Infrastructure Developers Ltd.,Construction,3920129,425847237.0071667,378
JMFINANCIL,JM Financial Ltd.,Financial Services,3491073,421797764.6063333,379
ZFCVINDIA,ZF Commercial Vehicle Control Systems India Ltd.,Automobile and Auto Components,4330241,421152521.68333334,380
JSL,Jindal Stainless Ltd.,Metals & Mining,2876417,419929090.9958333,381
BLS,BLS International Services Ltd.,Consumer Services,4423425,416129544.9876667,382
CYIENT,Cyient Ltd.,Information Technology,1471489,415400784.62833333,383
ZYDUSWELL,Zydus Wellness Ltd.,Fast Moving Consumer Goods,4514561,415107853.45666677,384
ESCORTS,Escorts Kubota Ltd.,Capital Goods,245249,415077133.04833335,385
IGL,Indraprastha Gas Ltd.,Oil Gas & Consumable Fuels,2883073,413941634.2789999,386
JKCEMENT,J.K. Cement Ltd.,Construction Materials,3397121,410864975.0416667,387
GICRE,General Insurance Corporation of India,Financial Services,70913,410208626.91166663,388
AJANTPHARM,Ajanta Pharmaceuticals Ltd.,Healthcare,2079745,409472916.4066667,389
SAPPHIRE,Sapphire Foods India Ltd.,Consumer Services,1719809,407862595.48216665,390
ANURAS,Anupam Rasayan India Ltd.,Chemicals,724225,407206224.84000003,391
HONAUT,Honeywell Automation India Ltd.,Capital Goods,874753,406715018.3333333,392
CONCORDBIO,Concord Biotech Ltd.,Healthcare,4623361,405199667.225,393
STARHEALTH,Star Health and Allied Insurance Company Ltd.,Financial Services,1813249,404868870.2058333,394
TBOTEK,TBO Tek Ltd.,Consumer Services,6077441,398803424.57,395
BRIGADE,Brigade Enterprises Ltd.,Realty,3887105,398629839.44916666,396
KPIL,Kalpataru Projects International Ltd.,Construction,464385,398456338.20666665,397
SARDAEN,Sarda Energy and Minerals Ltd.,Metals & Mining,4546049,398193891.45916665,398
ABSLAMC,Aditya Birla Sun Life AMC Ltd.,Financial Services,1540609,395591566.77833337,399
LEMONTREE,Lemon Tree Hotels Ltd.,Consumer Services,667137,395382415.7148333,400
BALRAMCHIN,Balrampur Chini Mills Ltd.,Fast Moving Consumer Goods,87297,393230226.50416666,401
VIJAYA,Vijaya Diagnostic Centre Ltd.,Healthcare,1429761,391047826.53499997,402
TECHNOE,Techno Electric & Engineering Company Ltd.,Construction,1649921,388568407.1449999,403
BAJAJHFL,Bajaj Housing Finance Ltd.,Financial Services,6469121,385078186.3573333,404
ABFRL,Aditya Birla Fashion and Retail Ltd.,Consumer Services,7707649,384322079.1071667,405
ENDURANCE,Endurance Technologies Ltd.,Automobile and Auto Components,4818433,378051178.4716667,406
CAPLIPOINT,Caplin Point Laboratories Ltd.,Healthcare,999937,375072429.2583333,407
INTELLECT,Intellect Design Arena Ltd.,Information Technology,1517057,372926555.72,408
SUNDARMFIN,Sundaram Finance Ltd.,Financial Services,854785,372673833.5083333,409
IKS,Inventurus Knowledge Solutions Ltd.,Information Technology,7200001,367408321.11333334,410
NSLNISP,NMDC Steel Ltd.,Metals & Mining,3630081,357417248.6235,411
SIGNATURE,Signatureglobal (India) Ltd.,Realty,4798209,351079149.1291666,412
ELGIEQUIP,Elgi Equipments Ltd.,Capital Goods,239873,349103111.1333334,413
KAJARIACER,Kajaria Ceramics Ltd.,Consumer Durables,462849,338311860.32000005,414
CHAMBLFERT,Chambal Fertilizers & Chemicals Ltd.,Chemicals,163073,333835553.6991667,415
CLEAN,Clean Science and Technology Ltd.,Chemicals,1292545,332400366.6708333,416
EMCURE,Emcure Pharmaceuticals Ltd.,Healthcare,6245889,329373299.1949999,417
CASTROLIND,Castrol India Ltd.,Oil Gas & Consumable Fuels,320001,326747540.8803333,418
ELECON,Elecon Engineering Co. Ltd.,Capital Goods,3492609,322531843.61,419
PVRINOX,PVR INOX Ltd.,Media Entertainment & Publication,3365633,322372393.65749997,420
MEDANTA,Global Health Ltd.,Healthcare,3060737,321786944.46333337,421
BHARTIHEXA,Bharti Hexacom Ltd.,Telecommunication,6013185,315621541.9366666,422
LATENTVIEW,Latent View Analytics Ltd.,Information Technology,1745409,314856287.6775,423
USHAMART,Usha Martin Ltd.,Capital Goods,2263041,314167117.47499996,424
JUBLINGREA,Jubilant Ingrevia Ltd.,Chemicals,712449,313913919.7666667,425
CHOLAHLDNG,Cholamandalam Financial Holdings Ltd.,Financial Services,5565441,310421985.77500004,426
CARBORUNIV,Carborundum Universal Ltd.,Capital Goods,152321,307871339.57750005,427
SCHAEFFLER,Schaeffler India Ltd.,Automobile and Auto Components,258817,304643523.4933332,428
SWANCORP,Swan Corp Ltd.,Chemicals,6936321,304067933.76166666,429
EIDPARRY,E.I.D. Parry (India) Ltd.,Fast Moving Consumer Goods,234497,301030107.37833333,430
BERGEPAINT,Berger Paints India Ltd.,Consumer Durables,103425,298601484.2308333,431
POLYMED,Poly Medicure Ltd.,Healthcare,6583809,298448628.2916667,432
ATUL,Atul Ltd.,Chemicals,67329,293229166.85,433
GODIGIT,Go Digit General Insurance Ltd.,Financial Services,6092545,292352564.5766667,434
ABBOTINDIA,Abbott India Ltd.,Healthcare,4583169,290523792.5,435
ABDL,Allied Blenders and Distillers Ltd.,Fast Moving Consumer Goods,6222849,288126725.0108333,436
MGL,Mahanagar Gas Ltd.,Oil Gas & Consumable Fuels,4488705,286742137.81,437
CESC,CESC Ltd.,Power,160769,282798519.11050004,438
CANHLIFE,Canara HSBC Life Insurance Company Ltd.,Financial Services,194426113,280027698.3183334,439
APTUS,Aptus Value Housing Finance India Ltd.,Financial Services,1391361,279901583.37000006,440
TEGA,Tega Industries Ltd.,Capital Goods,1818881,277644303.6116667,441
NCC,NCC Ltd.,Construction,593665,268601892.5188334,442
EMAMILTD,Emami Ltd.,Fast Moving Consumer Goods,3460353,267481879.67250004,443
TATAINVEST,Tata Investment Corporation Ltd.,Financial Services,414977,265124155.83916667,444
WHIRLPOOL,Whirlpool of India Ltd.,Consumer Durables,4610817,256592015.75,445
CRISIL,CRISIL Ltd.,Financial Services,193793,255526849.07666665,446
LTFOODS,LT Foods Ltd.,Fast Moving Consumer Goods,3536897,250770532.99000004,447
SOBHA,Sobha Ltd.,Realty,3539457,250671806.675,448
HOMEFIRST,Home First Finance Company India Ltd.,Financial Services,526337,250545117.61833334,449
IGIL,International Gemological Institute Ltd.,Services,7264769,250293448.2133333,450
GLAXO,Glaxosmithkline Pharmaceuticals Ltd.,Healthcare,295169,249818833.47,451
ABREL,Aditya Birla Real Estate Ltd.,Realty,160001,248866850.49833336,452
GODREJIND,Godrej Industries Ltd.,Diversified,2796801,248652522.69916666,453
AADHARHFC,Aadhar Housing Finance Ltd.,Financial Services,6074625,245780690.92666668,454
ACC,ACC Ltd.,Construction Materials,5633,243238613.87833336,455
THELEELA,Leela Palaces Hotels & Resorts Ltd.,Consumer Services,193795585,230646767.75750002,456
CANFINHOME,Can Fin Homes Ltd.,Financial Services,149249,221984866.5508333,457
INDIAMART,Indiamart Intermesh Ltd.,Consumer Services,2745857,221808537.03000003,458
VTL,Vardhman Textiles Ltd.,Textiles,530689,218495734.77916667,459
LINDEINDIA,Linde India Ltd.,Chemicals,416513,218059532.64166668,460
IRCON,IRCON International Ltd.,Construction,1276417,216630431.7005,461
TIMKEN,Timken India Ltd.,Capital Goods,3634689,215554913.9466667,462
UCOBANK,UCO Bank,Financial Services,2873089,211053349.2328333,463
RAILTEL,Railtel Corporation Of India Ltd.,Telecommunication,622337,205328597.71083334,464
RAMCOCEM,The Ramco Cements Ltd.,Construction Materials,523009,205159365.38416666,465
SUNTV,Sun TV Network Ltd.,Media Entertainment & Publication,3431425,201724823.58416665,466
UTIAMC,UTI Asset Management Company Ltd.,Financial Services,134913,200575276.05499995,467
INDGN,Indegene Ltd.,Healthcare,6065409,199097591.37333333,468
AAVAS,Aavas Financiers Ltd.,Financial Services,1378561,193909123.67666668,469
GILLETTE,Gillette India Ltd.,Fast Moving Consumer Goods,403457,190391293.1,470
UBL,United Breweries Ltd.,Fast Moving Consumer Goods,4278529,188250187.60666665,471
NAVA,Nava Ltd.,Power,1027585,184478071.39499998,472
CIEINDIA,CIE Automotive India Ltd.,Automobile and Auto Components,3823873,184285999.1966667,473
ITI,ITI Ltd.,Telecommunication,428801,182476364.60833332,474
3MINDIA,3M India Ltd.,Diversified,121345,174157538.0,475
TTML,Tata Teleservices (Maharashtra) Ltd.,Telecommunication,2292225,167649880.576,476
SJVN,SJVN Ltd.,Power,4834049,167310606.64733332,477
TRIDENT,Trident Ltd.,Textiles,2479361,166880370.84649995,478
PFOCUS,Prime Focus Ltd.,Media Entertainment & Publication,3454977,166743351.49183333,479
NIVABUPA,Niva Bupa Health Insurance Company Ltd.,Financial Services,6936833,164944829.73133335,480
BAYERCROP,Bayer Cropscience Ltd.,Chemicals,4589313,161947644.4966667,481
RAINBOW,Rainbow Childrens Medicare Ltd.,Healthcare,2408449,150656402.64666665,482
JUBLPHARMA,Jubilant Pharmova Ltd.,Healthcare,931073,149904751.38166666,483
PFIZER,Pfizer Ltd.,Healthcare,676609,149335340.56833333,484
ASAHIINDIA,Asahi India Glass Ltd.,Automobile and Auto Components,1376769,145132197.17500004,485
IOB,Indian Overseas Bank,Financial Services,2393089,140532812.2945,486
ERIS,Eris Lifesciences Ltd.,Healthcare,5415425,132100531.86166666,487
BLUEDART,Blue Dart Express Ltd.,Services,126721,127544210.95666666,488
SBFC,SBFC Finance Ltd.,Financial Services,4614657,114330936.96166664,489
DCMSHRIRAM,DCM Shriram Ltd.,Diversified,207617,113694146.00666665,490
CHALET,Chalet Hotels Ltd.,Consumer Services,2187777,111402510.65166667,491
TRAVELFOOD,Travel Food Services Ltd.,Consumer Services,193931521,109059101.43333334,492
INDIACEM,India Cements Ltd.,Construction Materials,387841,107254149.42416666,493
SPLPETRO,Supreme Petrochem Ltd.,Chemicals,2461953,105659355.51333334,494
GALLANTT,Gallantt Ispat Ltd.,Capital Goods,3414273,100272102.48666666,495
BIKAJI,Bikaji Foods International Ltd.,Fast Moving Consumer Goods,3063297,99726094.71333334,496
ABLBL,Aditya Birla Lifestyle Brands Ltd.,Consumer Services,193751809,98837957.05250001,497
JSWDULUX,JSW Dulux Ltd.,Consumer Durables,375553,97503670.195,498
EIHOTEL,EIH Ltd.,Consumer Services,235265,72541626.95166667,499
BBTC,Bombay Burmah Trading Corporation Ltd.,Fast Moving Consumer Goods,97281,52779615.251666665,500
